name,Address,type,lat,lng
מקלט ציבורי- אולם ספורט אורט ביאליק,"רחוב הגליל 26 , קריית ביאליק",PUBLIC_SHELTER,32.8335022,35.082724
מקלט ציבורי-מועדון חרמון,"רחוב סמטת כרמל/חרמון, קריית ביאליק",PUBLIC_SHELTER,32.8315995,35.0818221
מקלט ציבורי - 'נגמלים',"רחוב חרמון 1 , קריית ביאליק",PUBLIC_SHELTER,32.8311036,35.0833113
"מקלט ציבורי- מתנ""ס עופרים","רחוב הגנה 12 , קריית ביאליק",PUBLIC_SHELTER,32.831861,35.0859935
"מקלט ציבורי- אש""ק / עמותת ערן","רחוב קק""ל 75 , קריית ביאליק",PUBLIC_SHELTER,32.8351501,35.0847918
מקלט ציבורי- מועדונית תבור,"רחוב תבור 7 , קריית ביאליק",PUBLIC_SHELTER,32.8368153,35.0848079
"מקלט ציבורי- ""מקום משלנו""","רחוב ציפורי 9 , קריית ביאליק",PUBLIC_SHELTER,32.8392131,35.0859559
מקלט ציבורי- קבוצת מעגלים,"רחוב קישון 14 , קריית ביאליק",PUBLIC_SHELTER,32.8427435,35.0863207
מקלט ציבורי- ספריה עירונית,"רחוב אפרים 28-30 , קריית ביאליק",PUBLIC_SHELTER,32.8447822,35.0877047
מקלט ציבורי- ארכיון הדוברת,"רחוב הנרקיסים 29 א' , קריית ביאליק",PUBLIC_SHELTER,32.8471714,35.0877583
מקלט ציבורי- א.ש.ק,"רחוב השקדים 4 , קריית ביאליק",PUBLIC_SHELTER,32.8449084,35.090623
מקלט ציבורי- גן מרים,"רחוב הפלמ""ח 4 , קריית ביאליק",PUBLIC_SHELTER,32.8415714,35.0899042
מקלט ציבורי- מבנה עירונית,"רחוב הפלמ""ח 51 , קריית ביאליק",PUBLIC_SHELTER,32.8398132,35.0934017
מקלט ציבורי- קונסרבטוריון,"רחוב דפנה 43 , קריית ביאליק",PUBLIC_SHELTER,32.8368829,35.0908804
מקלט ציבורי - בית כנסת,"רחוב סמטת אשר, קריית ביאליק",PUBLIC_SHELTER,32.8335382,35.0886917
מקלט ציבורי- בית כנסת,"רחוב העצמאות 15 , קריית ביאליק",PUBLIC_SHELTER,32.8330694,35.0911593
מקלט ציבורי- קאנטרי אפק,"רחוב דרור 2 , קריית ביאליק",PUBLIC_SHELTER,32.8309594,35.0926828
מקלט ציבורי- רווחה,"רחוב הכלניות 4 , קריית ביאליק",PUBLIC_SHELTER,32.84305,35.0935519
מקלט ציבורי- רווחה,"רחוב סיגליות 7 , קריית ביאליק",PUBLIC_SHELTER,32.8454562,35.0945926
מקלט ציבורי- מכון אגרוף,"רחוב חנה סנש 33 , קריית ביאליק",PUBLIC_SHELTER,32.8488212,35.0919962
"מקלט ציבורי- מתנ""ס","רחוב העלייה 3 , קריית ביאליק",PUBLIC_SHELTER,32.8530487,35.0926721
מקלט פתוח- אורט דפנה,"רחוב דפנה 52 , קריית ביאליק",SCHOOL,32.8374238,35.093627
מקלט פתוח- בית הספר פסגות,"רחוב חיים 89 , קריית ביאליק",SCHOOL,32.8291022,35.0954316
מקלט פתוח- ביאליק,"רחוב הנרייטה סאלד 24, ק. ביאליק",SCHOOL,32.8427435,35.0898504
מקלט פתוח- נעורים,"רחוב בנימין 3 , קריית ביאליק",SCHOOL,32.8407058,35.0858164
מקלט פתוח- הבונים,"רחוב דפנה 49 , קריית ביאליק",SCHOOL,32.8361075,35.0918031
מקלט פתוח- קדימה,"רחוב נפתלי 6 , קריית ביאליק",SCHOOL,32.8329612,35.0853713
מיגונית- אורט דפנה,"רחוב דפנה 52 , קריית ביאליק",PROTECTED_SPACE,32.8375049,35.0932223
מיגונית- ביאליק,"רחוב הנרייטה סאלד 24, ק. ביאליק",PROTECTED_SPACE,32.8427301,35.0895393
מיגונית- אורט ביאליק,"רחוב ניר עם 3 , קריית ביאליק",PROTECTED_SPACE,32.8339439,35.0833247
מיגונית- אורט אפק,"רחוב דרור 6 , קריית ביאליק",PROTECTED_SPACE,32.830635,35.0935519
מיגונית- גן ניצנים,"רחוב ניצנים 12 , קריית ביאליק",PROTECTED_SPACE,32.8322667,35.0934017
מיגונית- גן העצמאות,"רחוב אשר 2 , קריית ביאליק",PROTECTED_SPACE,32.834043,35.0910199
מיגונית- גן גלים,"רחוב הפרטיזנים 7 א', קריית ביאליק",PROTECTED_SPACE,32.8389336,35.091213
מיגונית- גן צורים,"רחוב חיים 93 , קריית ביאליק",PROTECTED_SPACE,32.8286965,35.0955925
מיגונית- גן רקפות,"רחוב הנרייטה סאלד 17 , קריית ביאליק",PROTECTED_SPACE,32.8427976,35.0924146
מיגונית- ליד קופת חולים,"רחוב לוחמי הגטאות, קריית ביאליק",PROTECTED_SPACE,32.8437984,35.0905479
מיגונית- מגרש כדורגל,"רחוב העלייה, קריית ביאליק",PROTECTED_SPACE,32.8524806,35.0921035